日期,平均温度
"	2018-01-01",-1.5
"	2018-01-02",-1.5
"	2018-01-03",-1.5
"	2018-01-04",-4
"	2018-01-05",-1.5
"	2018-01-06",-1.5
"	2018-01-07",-1
"	2018-01-08",-2
"	2018-01-09",-3.5
"	2018-01-10",-6
"	2018-01-11",-5.5
"	2018-01-12",-3
"	2018-01-13",-2
"	2018-01-14",0.5
"	2018-01-15",-1.5
"	2018-01-16",-0.5
"	2018-01-17",-0.5
"	2018-01-18",-0.5
"	2018-01-19",1.5
"	2018-01-20",-1.5
"	2018-01-21",-2.5
"	2018-01-22",-6.5
"	2018-01-23",-8
"	2018-01-24",-7.5
"	2018-01-25",-7
"	2018-01-26",-6.5
"	2018-01-27",-5
"	2018-01-28",-5
"	2018-01-29",-3.5
"	2018-01-30",-1.5
"	2018-01-31",-2.5
"	2018-02-01",-1.5
"	2018-02-02",-5
"	2018-02-03",-4.5
"	2018-02-04",-3.5
"	2018-02-05",-5
"	2018-02-06",-2
"	2018-02-07",-4
"	2018-02-08",-2
"	2018-02-09",-2.5
"	2018-02-10",-4
"	2018-02-11",-4.5
"	2018-02-12",-1
"	2018-02-13",2
"	2018-02-14",0
"	2018-02-15",0
"	2018-02-16",1.5
"	2018-02-17",0.5
"	2018-02-18",2.5
"	2018-02-19",1.5
"	2018-02-20",0
"	2018-02-21",2
"	2018-02-22",2.5
"	2018-02-23",3
"	2018-02-24",-1.5
"	2018-02-25",1
"	2018-02-26",5.5
"	2018-02-27",3.5
"	2018-02-28",3.5
"	2018-03-01",2.5
"	2018-03-02",4
"	2018-03-03",8
"	2018-03-04",2.5
"	2018-03-05",2.5
"	2018-03-06",1.5
"	2018-03-07",2
"	2018-03-08",2
"	2018-03-09",4
"	2018-03-10",6
"	2018-03-11",5.5
"	2018-03-12",9
"	2018-03-13",11
"	2018-03-14",10.5
"	2018-03-15",5.5
"	2018-03-16",4.5
"	2018-03-17",2
"	2018-03-18",7
"	2018-03-19",7.5
"	2018-03-20",4
"	2018-03-21",6
"	2018-03-22",10.5
"	2018-03-23",11.5
"	2018-03-24",13.5
"	2018-03-25",15.5
"	2018-03-26",16
"	2018-03-27",19
"	2018-03-28",17
"	2018-03-29",13
"	2018-03-30",13
"	2018-03-31",16
"	2018-04-01",18
"	2018-04-02",18.5
"	2018-04-03",10
"	2018-04-04",5.5
"	2018-04-05",6.5
"	2018-04-06",7.5
"	2018-04-07",7
"	2018-04-08",11.5
"	2018-04-09",13.5
"	2018-04-10",16
"	2018-04-11",16
"	2018-04-12",14.5
"	2018-04-13",8.5
"	2018-04-14",12
"	2018-04-15",14.5
"	2018-04-16",17.5
"	2018-04-17",18.5
"	2018-04-18",20.5
"	2018-04-19",19.5
"	2018-04-20",21
"	2018-04-21",14
"	2018-04-22",14
"	2018-04-23",14
"	2018-04-24",16.5
"	2018-04-25",18
"	2018-04-26",19
"	2018-04-27",19
"	2018-04-28",22
"	2018-04-29",23
"	2018-04-30",19
"	2018-05-01",19
"	2018-05-02",19
"	2018-05-03",18
"	2018-05-04",21.5
"	2018-05-05",19
"	2018-05-06",21
"	2018-05-07",20.5
"	2018-05-08",20
"	2018-05-09",23
"	2018-05-10",22
"	2018-05-11",19.5
"	2018-05-12",22
"	2018-05-13",23.5
"	2018-05-14",28
"	2018-05-15",26.5
"	2018-05-16",25
"	2018-05-17",22
"	2018-05-18",22
"	2018-05-19",21.5
"	2018-05-20",18.5
"	2018-05-21",16
"	2018-05-22",17.5
"	2018-05-23",22
"	2018-05-24",24
"	2018-05-25",25
"	2018-05-26",23.5
"	2018-05-27",24.5
"	2018-05-28",23
"	2018-05-29",23.5
"	2018-05-30",25.5
"	2018-05-31",27
"	2018-06-01",28.5
"	2018-06-02",28
"	2018-06-03",25.5
"	2018-06-04",27.5
"	2018-06-05",31.5
"	2018-06-06",30.5
"	2018-06-07",27.5
"	2018-06-08",25.5
"	2018-06-09",20
"	2018-06-10",22
"	2018-06-11",24
"	2018-06-12",25.5
"	2018-06-13",23.5
"	2018-06-14",25.5
"	2018-06-15",26
"	2018-06-16",26
"	2018-06-17",26.5
"	2018-06-18",25.5
"	2018-06-19",26
"	2018-06-20",28
"	2018-06-21",29.5
"	2018-06-22",25.5
"	2018-06-23",29.5
"	2018-06-24",30.5
"	2018-06-25",29
"	2018-06-26",30.5
"	2018-06-27",31
"	2018-06-28",29.5
"	2018-06-29",31
"	2018-06-30",30
"	2018-07-01",29
"	2018-07-02",27.5
"	2018-07-03",28
"	2018-07-04",30.5
"	2018-07-05",30.5
"	2018-07-06",28
"	2018-07-07",27
"	2018-07-08",26.5
"	2018-07-09",26
"	2018-07-10",26
"	2018-07-11",23.5
"	2018-07-12",24.5
"	2018-07-13",25.5
"	2018-07-14",27.5
"	2018-07-15",28.5
"	2018-07-16",27.5
"	2018-07-17",25
"	2018-07-18",29
"	2018-07-19",30
"	2018-07-20",30
"	2018-07-21",30
"	2018-07-22",29.5
"	2018-07-23",28.5
"	2018-07-24",27
"	2018-07-25",28.5
"	2018-07-26",29
"	2018-07-27",27.5
"	2018-07-28",28.5
"	2018-07-29",29
"	2018-07-30",29.5
"	2018-07-31",30.5
"	2018-08-01",31
"	2018-08-02",31
"	2018-08-03",31
"	2018-08-04",31.5
"	2018-08-05",30
"	2018-08-06",27.5
"	2018-08-07",26.5
"	2018-08-08",26.5
"	2018-08-09",27
"	2018-08-10",29
"	2018-08-11",26.5
"	2018-08-12",27
"	2018-08-13",27.5
"	2018-08-14",26.5
"	2018-08-15",28
"	2018-08-16",25.5
"	2018-08-17",26
"	2018-08-18",25.5
"	2018-08-19",24.5
"	2018-08-20",27.5
"	2018-08-21",27
"	2018-08-22",24.5
"	2018-08-23",26
"	2018-08-24",25
"	2018-08-25",26.5
"	2018-08-26",26.5
"	2018-08-27",26
"	2018-08-28",25.5
"	2018-08-29",25.5
"	2018-08-30",24.5
"	2018-08-31",24.5
"	2018-09-01",23
"	2018-09-02",23
"	2018-09-03",24.5
"	2018-09-04",24.5
"	2018-09-05",25
"	2018-09-06",22.5
"	2018-09-07",21.5
"	2018-09-08",21
"	2018-09-09",22
"	2018-09-10",23.5
"	2018-09-11",22.5
"	2018-09-12",24
"	2018-09-13",24.5
"	2018-09-14",23.5
"	2018-09-15",20.5
"	2018-09-16",19.5
"	2018-09-17",22
"	2018-09-18",21
"	2018-09-19",21.5
"	2018-09-20",21.5
"	2018-09-21",19.5
"	2018-09-22",18.5
"	2018-09-23",17.5
"	2018-09-24",17
"	2018-09-25",18
"	2018-09-26",19
"	2018-09-27",17
"	2018-09-28",17.5
"	2018-09-29",16.5
"	2018-09-30",16
"	2018-10-01",18
"	2018-10-02",17.5
"	2018-10-03",17.5
"	2018-10-04",18.5
"	2018-10-05",19
"	2018-10-06",14
"	2018-10-07",14
"	2018-10-08",14.5
"	2018-10-09",9.5
"	2018-10-10",10.5
"	2018-10-11",11.5
"	2018-10-12",14
"	2018-10-13",14
"	2018-10-14",15.5
"	2018-10-15",14
"	2018-10-16",12
"	2018-10-17",11
"	2018-10-18",11.5
"	2018-10-19",13
"	2018-10-20",12.5
"	2018-10-21",12.5
"	2018-10-22",12
"	2018-10-23",11.5
"	2018-10-24",13
"	2018-10-25",11.5
"	2018-10-26",8.5
"	2018-10-27",11
"	2018-10-28",10.5
"	2018-10-29",9
"	2018-10-30",8.5
"	2018-10-31",10
"	2018-11-01",10
"	2018-11-02",11
"	2018-11-03",11
"	2018-11-04",6
"	2018-11-05",6
"	2018-11-06",6
"	2018-11-07",8
"	2018-11-08",8
"	2018-11-09",8
"	2018-11-10",5.5
"	2018-11-11",7
"	2018-11-12",8
"	2018-11-13",9
"	2018-11-14",9
"	2018-11-15",4.5
"	2018-11-16",3.5
"	2018-11-17",3.5
"	2018-11-18",4
"	2018-11-19",4
"	2018-11-20",4
"	2018-11-21",3
"	2018-11-22",2.5
"	2018-11-23",3.5
"	2018-11-24",3
"	2018-11-25",3.5
"	2018-11-26",5
"	2018-11-27",3
"	2018-11-28",2.5
"	2018-11-29",1.5
"	2018-11-30",2.5
"	2018-12-01",3.5
"	2018-12-02",5.5
"	2018-12-03",2.5
"	2018-12-04",-1
"	2018-12-05",-1.5
"	2018-12-06",-5.5
"	2018-12-07",-7
"	2018-12-08",-6
"	2018-12-09",-5.5
"	2018-12-10",-2.5
"	2018-12-11",-5.5
"	2018-12-12",-3.5
"	2018-12-13",-2
"	2018-12-14",-1
"	2018-12-15",-2
"	2018-12-16",1.5
"	2018-12-17",1
"	2018-12-18",2.5
"	2018-12-19",2
"	2018-12-20",1
"	2018-12-21",4
"	2018-12-22",1
"	2018-12-23",-4
"	2018-12-24",-3
"	2018-12-25",-3.5
"	2018-12-26",-6.5
"	2018-12-27",-8.5
"	2018-12-28",-7
"	2018-12-29",-7.5
"	2018-12-30",-6.5
"	2018-12-31",-6
